sec,nsec,x,y,q_x,q_y,q_w,q_z,fl,fr,rl,rr
1649348706,118361711,1.267809271812439,-1.770795464515686,0.07041097432374954,0.00684937322512269,-0.08777755498886108,0.9936249256134033,20759.0,15953.0,18977.0,17728.0
1649348706,138675212,1.267809271812439,-1.770795464515686,0.07041097432374954,0.00684937322512269,-0.08777755498886108,0.9936249256134033,20761.0,15955.0,18980.0,17730.0
1649348706,159165620,1.259900689125061,-1.772916316986084,0.06028912961483002,0.011391188949346542,-0.10903856158256531,0.9921421408653259,20763.0,15957.0,18981.0,17732.0
1649348706,180064439,1.2560254335403442,-1.7729154825210571,0.0758562982082367,0.01575954258441925,-0.1046219989657402,0.9914896488189697,20765.0,15959.0,18983.0,17734.0
1649348706,200153827,1.2520781755447388,-1.7741833925247192,0.07142593711614609,0.015559757128357887,-0.10679483413696289,0.9915902018547058,20767.0,15961.0,18985.0,17736.0
1649348706,221088886,1.2520781755447388,-1.7741833925247192,0.07142593711614609,0.015559757128357887,-0.10679483413696289,0.9915902018547058,20768.0,15963.0,18987.0,17738.0
1649348706,241214275,1.2520781755447388,-1.7741833925247192,0.07142593711614609,0.015559757128357887,-0.10679483413696289,0.9915902018547058,20771.0,15965.0,18989.0,17740.0
1649348706,261679172,1.2400622367858887,-1.7782896757125854,0.07885168492794037,0.005696818232536316,-0.10285420715808868,0.9915498495101929,20772.0,15967.0,18991.0,17742.0
1649348706,282008171,1.2357258796691895,-1.7803716659545898,0.07272162288427353,-0.001285681501030922,-0.10905864834785461,0.9913708567619324,20775.0,15969.0,18993.0,17744.0
1649348706,302829980,1.2293586730957031,-1.7806675434112549,0.09282992780208588,0.015593478456139565,-0.10199427604675293,0.9903215169906616,20777.0,15971.0,18994.0,17746.0
1649348706,324790239,1.223684549331665,-1.78163743019104,0.06725438684225082,0.004862592555582523,-0.09161011874675751,0.9935093522071838,20780.0,15972.0,18997.0,17750.0
1649348706,345836877,1.2227991819381714,-1.7829281091690063,0.05986658111214638,0.013915585353970528,-0.11301985383033752,0.991689920425415,20782.0,15974.0,18998.0,17751.0
1649348706,364860534,1.2193219661712646,-1.783500075340271,0.10159765183925629,0.016887729987502098,-0.10111281275749207,0.9895297288894653,20782.0,15976.0,19000.0,17751.0
1649348706,384855031,1.2123581171035767,-1.7861486673355103,0.07835017889738083,0.009776344522833824,-0.10308552533388138,0.9915337562561035,20784.0,15978.0,19002.0,17753.0
1649348706,406858444,1.2111732959747314,-1.7867053747177124,0.07790762186050415,0.01819653995335102,-0.1023947075009346,0.991521418094635,20788.0,15980.0,19004.0,17757.0
1649348706,427412271,1.205683946609497,-1.7882260084152222,0.08318272233009338,0.016875959932804108,-0.10346736758947372,0.9910047054290771,20790.0,15982.0,19006.0,17758.0
1649348706,447881698,1.203725814819336,-1.7882052659988403,0.06950649619102478,0.0055891661904752254,-0.1032511293888092,0.9922081232070923,20791.0,15983.0,19008.0,17760.0
1649348706,468473911,1.1962823867797852,-1.7897566556930542,0.09212953597307205,0.009128866717219353,-0.1048814207315445,0.9901660084724426,20793.0,15985.0,19010.0,17762.0
1649348706,489049911,1.193251132965088,-1.7917474508285522,0.07039247453212738,0.022337336093187332,-0.09584690630435944,0.9926527142524719,20795.0,15987.0,19012.0,17764.0
1649348706,509491205,1.1883211135864258,-1.791656732559204,0.05971337482333183,-0.00010523508535698056,-0.10471153259277344,0.9927083849906921,20797.0,15989.0,19014.0,17766.0
1649348706,530062913,1.1883211135864258,-1.791656732559204,0.05971337482333183,-0.00010523508535698056,-0.10471153259277344,0.9927083849906921,20799.0,15991.0,19016.0,17768.0
1649348706,550667524,1.1782783269882202,-1.7930039167404175,0.08127463608980179,0.012602757662534714,-0.09999106824398041,0.9915833473205566,20801.0,15993.0,19018.0,17770.0
1649348706,571329832,1.175166130065918,-1.7940527200698853,0.07732109725475311,0.010525252670049667,-0.10964462161064148,0.9909030795097351,20803.0,15995.0,19019.0,17772.0
